query_run_timestamp,ontolgy_id,Year,UCLA,UCI,UCSF,UCSD,UCD
2015-09-12T12:09:02.123-05:00,12,2010,737462,1345341,679201,1203944,315775
2015-09-12T12:09:02.123-05:00,12,2011,737462,1345341,679201,1203944,315775
2015-09-12T12:09:02.123-05:00,12,2012,737462,1345341,679201,1203944,315775
2015-09-12T12:09:02.123-05:00,12,2013,737462,1345341,679201,1203944,315775
2015-09-12T12:09:02.123-05:00,12,2014,737462,1345341,679201,1203944,315775
2014-09-12T12:09:02.123-05:00,13,2010,737462,1345341,679201,1203944,315775
2014-09-12T12:09:02.123-05:00,13,2011,737462,1345341,679201,1203944,315775
2014-09-12T12:09:02.123-05:00,13,2012,737462,1345341,679201,1203944,315775
2014-09-12T12:09:02.123-05:00,13,2013,737462,1345341,679201,1203944,315775
2014-09-12T12:09:02.123-05:00,13,2014,737462,1345341,679201,1203944,315775
